name,img,kind,duration,start_date,content
Pokémon The Movie 20: Tớ Chọn Cậu|fd9a96058d8f46498af069204cda3dd3.png|Gia đình, Hoạt Hình|97 phút|10/11/2017|Có một mảnh đất huyền bí mà ở đó, loài người và các Pokémon sống hòa thuận, luôn kề vai sát cánh, chiến đấu cùng nhau trong các giải đấu. Và tại thị trấn Masara thuộc vùng Kanto, cậu bé 10 tuổi Satoshi với ước mơ trở thành một người huấn luyện Pokémon, chu du khắp mọi miền và giành được danh hiệu “Chuyên gia Pokémon”. Nhưng mọi chuyện không hề dễ dàng với Satoshi tại buổi chọn lựa Pokémon đầu tiên khi cậu đến muộn và chỉ còn sót lại Pikachu. Cuộc sống của Satoshi cũng từ đó bị đảo lộn hoàn toàn với những tình huống tréo ngoe, những rắc rối dở khóc dở cười do chính sự ngây ngô của Pikachu mang lại. Và cũng từ đó, những hành trình đầy thách thức và thú vị bắt đầu.
Out Of The Shadow|32ab81a720794b14814ce64b16edcb89.png|Kinh Dị||10/11/2017|Dự kiến khởi chiếu ngày 10.11.2017
Cô Ba Sài Gòn|ab98aff135d84168bf921b7535c6ff6f.png|Tâm Lý, Thần thoại|100 phút|10/11/2017|Cô Ba Sài Gòn là hành trình thú vị của Như Ý – cô chủ hiệu may Thanh Nữ, vô tình xuyên không đến tương lai. Là cô gái thế kỷ 20 mang lý tưởng bảo vệ chiếc áo dài thiêng liêng và truyền thống, Như Ý vô cùng bỡ ngỡ khi đứng trước xã hội ở thế kỷ 21 với nhiều thay đổi. Hơn hết, Như Ý phải đối mặt với chính cô của tương lai. Như Ý tìm cách trở về thế giới của mình, bằng cách phải lấy chiếc áo dài cũ từ chính phiên bản Như Ý của tương lai.
Hiểm Họa Rừng Chết|b90db6a4963f4a8aa8878f87e3fd9df9.png|Hành Động, Phiêu Lưu|115 phút|10/11/2017|Bộ phim được dựa trên câu chuyện có thật về một người đàn ông Israel có tên Yossi Ghinsberg. Anh đã phải chống chọi suốt 3 tuần liền với hàng loạt hiểm nguy nơi rừng thiêng nước độc để bảo vệ mạng sống của mình. Yossi đã có những trải nghiệm kinh khủng nhất trong đời, từ những cơn đói khát, cơ thể bị thối rửa, phải ăn thịt sống,… cho đến cuộc vật lộn một sống một còn với rắn hổ mang, báo hoa, những dòng nước chảy xiết đến chết người,…
Pháo Hoa, Nên Ngắm Từ Dưới Hay Bên Cạnh|8b2206df32b54afe953589ca92e9dfdf.png|Hoạt Hình|90 phút|10/11/2017|Bộ phim truyền tải một thông điệp mạnh mẽ cho những người trẻ ngoài kia hãy sống và yêu khi còn bùng cháy ngọn lửa thanh xuân cùng những chân tình tinh khôi. Sẽ có những nước mắt, nụ cười, đau khổ lẫn câm giận nhưng đừng e sợ, vì tình yêu sẽ mang chúng ta trở lại với nhau dù đó là thời khắc nào, chiều không gian nào đi nữa.
Liên Minh Công Lý|126715edc6804b29bb739bcb4721aded.png|Hành Động, Phiêu Lưu||17/11/2017|Justice League hay còn được biết đến với cái tên Liên Minh Công Lý, là tập hợp những siêu anh hùng mang trong mình sức mạnh phi thường để giải cứu thế giới khỏi những thế lực đen tối trong vũ trụ DC. Lần này, nhân loại phải đối mặt với tên ác quỷ vô cùng tàn độc – Steppenwolf. Hắn là một trong những tay sai đắc lực của Darksied – một ác nhân và cũng chính là kẻ thù lớn nhất của Liên Minh Công Lý. Trong 4 phút của trailer mới nhất, Steppenwolf đã phô trương năng lực siêu phàm của mình, gieo rắc nỗi sợ hãi và bóng tối tới xứ Themyscira – quê hương của Wonder Woman và loài người.
Ngọn Núi Giữa Hai Ta|1e22ff6ef32641c9baeb1724a5d746fb.png|Hành Động, Phiêu Lưu|113 phút|17/11/2017|Vì cơn bão ngày một to, chuyến bay của bác sĩ Ben Bass (Idris Elba) và phóng viên ảnh Alex Martin (Kate Winslet) đã bị trì hoãn để đảm bảo an toàn cho hành khách. Tuy nhiên, cả Ben và Alex đều đang có việc gấp. Trong khi Ben có một ca phẫu thuật quan trọng vào sáng mai thì Alex phải tiến hành lễ cưới cũng trong hôm đó. Trước tình cảnh này, hai con người không hề quen biết đã cùng nhau thuê một chiếc phi cơ riêng để về nhà.
Victoria & Abdul: Nữ Hoàng & Tri Kỷ|107e51ba9d4f4eaf89242fca65d05347.png|Tâm Lý|112 phút|24/11/2017|Dự kiến khởi chiếu ngày 24.11.2017
Coco|933c54224b2a4520afd7d740db81272c.png|Gia đình, Hoạt Hình|127 phút|24/11/2017|Bộ phim này kể về hành trình của Miguel, một cậu bé say mê những giai điệu nhưng lại sinh trưởng trong một gia đình cấm đoán sự xuất hiện của âm nhạc. Miguel luôn nung nấu giấc mơ trở thành một nhạc sĩ nổi tiếng giống như thần tượng Ernesto de la Cruz. Tuy nhiên, truyền thống ngang trái của gia đình đã khiến cậu không thể chứng minh tài năng của mình. Rũ bỏ thực tế phũ phàng, Miguel tìm thấy chính mình ở Vùng Đất Linh Hồn tuyệt đẹp và đầy sắc màu sau một chuỗi sự kiện huyền bí. Trong hành trình khám phá vùng đất mới, Miguel gặp gỡ “chuyên gia xảo quyệt” Hector. Cả hai cùng tạo nên chuyến phiêu lưu kỳ diệu để lật mở những bí mật chưa được tiết lộ về lịch sử của gia đình Miguel.
Bố Ngoan Bố Hư 2|92947471e6164604b8ea75903fc47343.png|Hài||08/12/2017Dự kiến khởi chiếu ngày 8/12/2017
